2001    32,921	2.39%	30,846.09	31,581.97	148,282	4,683,048
2002    33,252	1.00%	31,581.97	31,898.70	148,069	4,723,210
2003    34,064	2.44%	31,898.70	32,678.48	147,722	4,827,338
2004    35,648	4.65%	32,678.48	34,197.63	149,439	5,110,451
2005    36,952	3.66%	34,197.63	35,448.93	151,603	5,374,177
2006    38,651	4.60%	35,448.93	37,078.27	153,853	5,704,593
2007    40,405	4.54%	37,078.27	38,760.95	155,570	6,030,057
2008    41,334	2.30%	38,760.95	39,652.61	155,435	6,163,387
2009    40,711	-1.51%	39,652.61	39,054.62	150,918	5,894,035
2010    41,673	2.36%	39,036.67	39,959.30	150,399	6,009,831
2011    42,979	3.13%	39,959.30	41,211.36	151,381	6,238,607
2012    44,321	3.12%	41,211.36	42,498.21	153,632	6,529,098
2013    44,888	1.28%	42,498.21	43,041.39	155,772	6,704,658
2014    46,481	3.55%	43,041.39	44,569.20	158,187	7,050,259
2015    48,098	3.48%	44,569.20	46,119.78	160,795	7,415,816
2016    48,642	1.13%	46,119.78	46,640.94	163,521	7,626,754
2017    50,321	3.45%	46,640.94	48,251.57	165,438	7,982,655
2018    52,145	3.62%	48,251.57	50,000.44	167,669	8,383,541
2019    54,099	3.75%	50,040.96	51,916.27	169,329	8,790,917
2020    55,628	2.83%	51,916.27	53,383.18	167,594	8,946,699
2021    60,575	8.89%	53,383.18	58,129.99	168,133	9,773,580
2022    63,795	
